user_id,gender,age,region
1,Ж,23,Краснодарский край
2,Ж,43,Краснодарский край
3,М,36,Краснодарский край
4,Ж,39,Краснодарский край
5,М,43,Иркутская область
6,Ж,37,Санкт-Петербург
7,Ж,39,Краснодарский край
8,М,34,Оренбургская область
9,М,38,Оренбургская область
10,Ж,37,Краснодарский край
11,М,42,Краснодарский край
12,Ж,39,Нижегородская область
13,М,35,Краснодарский край
14,М,34,Республика Адыгея
15,Ж,42,Иркутская область
16,М,39,Краснодарский край
17,Ж,43,Санкт-Петербург
18,Ж,27,Краснодарский край
19,М,37,Оренбургская область
20,М,44,Санкт-Петербург
21,Ж,39,Краснодарский край
22,Ж,34,Оренбургская область
23,М,34,Санкт-Петербург
24,Ж,33,Краснодарский край
25,М,31,Краснодарский край
26,М,28,Краснодарский край
27,Ж,41,Оренбургская область
28,М,38,Санкт-Петербург
29,Ж,34,Санкт-Петербург
30,Ж,39,Краснодарский край
31,Ж,34,Краснодарский край
32,Ж,29,Краснодарский край
33,Ж,29,Санкт-Петербург
34,М,32,Краснодарский край
35,Ж,38,Иркутская область
36,Ж,42,Санкт-Петербург
37,М,31,Иркутская область
38,Ж,34,Краснодарский край
39,М,27,Санкт-Петербург
40,Ж,32,Краснодарский край
41,М,35,Санкт-Петербург
42,Ж,45,Республика Адыгея
43,М,38,Краснодарский край
44,Ж,35,Иркутская область
45,М,22,Нижегородская область
46,Ж,34,Краснодарский край
47,Ж,27,Иркутская область
48,М,28,Астраханская область
49,М,31,Оренбургская область
50,Ж,34,Краснодарский край
51,М,38,Краснодарский край
52,М,42,Санкт-Петербург
53,Ж,39,Оренбургская область
54,М,36,Нижегородская область
55,М,37,Астраханская область
56,Ж,29,Краснодарский край
57,Ж,48,Нижегородская область
58,М,19,Краснодарский край
59,М,25,Санкт-Петербург
60,М,37,Нижегородская область
61,Ж,33,Астраханская область
62,М,41,Оренбургская область
63,Ж,42,Краснодарский край
64,М,37,Иркутская область
65,М,27,Нижегородская область
66,Ж,36,Санкт-Петербург
67,Ж,33,Краснодарский край
68,М,37,Иркутская область
69,Ж,34,Оренбургская область
70,Ж,35,Краснодарский край
71,Ж,34,Иркутская область
72,М,33,Санкт-Петербург
73,М,35,Санкт-Петербург
74,Ж,30,Иркутская область
75,М,33,Санкт-Петербург
76,Ж,37,Краснодарский край
77,Ж,38,Краснодарский край
78,Ж,35,Республика Адыгея
79,М,35,Санкт-Петербург
80,Ж,27,Краснодарский край
81,М,26,Нижегородская область
82,Ж,43,Иркутская область
83,Ж,35,Краснодарский край
84,М,38,Краснодарский край
85,Ж,29,Нижегородская область
86,Ж,31,Санкт-Петербург
87,Ж,35,Астраханская область
88,Ж,37,Иркутская область
89,Ж,35,Санкт-Петербург
90,Ж,30,Санкт-Петербург
91,М,35,Нижегородская область
92,Ж,37,Нижегородская область
93,М,31,Иркутская область
94,Ж,37,Иркутская область
95,М,32,Республика Адыгея
96,М,34,Нижегородская область
97,Ж,38,Санкт-Петербург
98,Ж,40,Иркутская область
99,Ж,36,Санкт-Петербург
100,Ж,36,Иркутская область
101,Ж,37,Санкт-Петербург
102,Ж,25,Астраханская область
103,М,33,Краснодарский край
104,М,35,Иркутская область
105,Ж,39,Нижегородская область
106,Ж,40,Краснодарский край
107,М,50,Нижегородская область
108,Ж,29,Иркутская область
109,М,31,Краснодарский край
110,М,30,Оренбургская область
111,Ж,35,Санкт-Петербург
112,М,34,Астраханская область
113,Ж,25,Краснодарский край
114,Ж,34,Краснодарский край
115,Ж,33,Санкт-Петербург
116,Ж,38,Санкт-Петербург
117,М,31,Оренбургская область
118,М,31,Санкт-Петербург
119,М,33,Краснодарский край
120,М,40,Санкт-Петербург
121,Ж,29,Астраханская область
122,М,35,Нижегородская область
123,Ж,33,Краснодарский край
124,М,45,Астраханская область
125,Ж,35,Иркутская область
126,М,42,Оренбургская область
127,Ж,40,Нижегородская область
128,Ж,34,Нижегородская область
129,Ж,39,Краснодарский край
130,М,33,Астраханская область
131,Ж,33,Краснодарский край
132,Ж,41,Оренбургская область
133,Ж,34,Санкт-Петербург
134,М,34,Иркутская область
135,М,29,Санкт-Петербург
136,М,41,Санкт-Петербург
137,М,32,Краснодарский край
138,Ж,26,Нижегородская область
139,Ж,35,Астраханская область
140,М,28,Нижегородская область
141,М,34,Республика Адыгея
142,М,38,Краснодарский край
143,Ж,38,Санкт-Петербург
144,Ж,43,Астраханская область
145,М,42,Оренбургская область
