user_id,group
5034,treatment
4725,treatment
911,treatment
13267,control
5636,control
5625,treatment
1678,treatment
12191,treatment
6959,control
9527,control
8889,control
12106,treatment
11511,control
1898,control
14460,control
9282,control
10523,control
11407,control
6836,control
3209,control
4913,treatment
7094,control
14583,treatment
14204,treatment
11797,treatment
1476,control
5167,treatment
10610,treatment
4074,control
2880,control
8553,treatment
12578,treatment
12214,treatment
547,treatment
12982,treatment
4170,treatment
4100,control
7620,treatment
14601,treatment
2035,control
12467,treatment
9170,treatment
12858,treatment
1744,control
793,control
9269,treatment
7752,treatment
13821,control
5946,control
9633,treatment
8902,treatment
13264,treatment
5765,treatment
3190,treatment
10775,control
14538,treatment
8449,treatment
7259,control
9536,control
13173,control
9687,treatment
7183,control
6900,treatment
10656,control
13702,control
11044,control
9184,treatment
10850,treatment
10690,control
10173,treatment
5295,control
2547,control
4875,control
1810,treatment
5720,control
9653,treatment
12055,control
13154,treatment
5246,control
3184,treatment
7999,control
11435,control
4959,treatment
14498,control
153,treatment
5904,control
13719,control
7454,control
5931,treatment
13694,control
9677,treatment
1241,treatment
230,treatment
6280,treatment
12324,treatment
13958,control
4695,treatment
5423,control
6926,control
11402,control
13788,treatment
14179,control
144,treatment
13076,control
4086,treatment
3611,treatment
8460,treatment
6368,control
1902,control
641,control
2139,control
1545,treatment
9420,control
5089,treatment
14782,treatment
9407,treatment
13596,treatment
7571,treatment
8073,control
2057,treatment
931,control
11367,treatment
12930,control
2512,treatment
1050,treatment
3837,treatment
10467,control
734,control
49,treatment
6326,control
1277,treatment
5342,treatment
5685,treatment
1802,control
2226,treatment
2778,control
14394,treatment
2628,control
6443,control
13779,control
11360,control
13357,treatment
9245,control
9551,treatment
5010,treatment
9869,treatment
5446,treatment
4221,control
12688,control
11644,treatment
12041,treatment
4147,treatment
8231,treatment
513,treatment
5217,control
6571,treatment
11924,control
8245,treatment
12172,control
3850,treatment
12484,treatment
6436,control
6288,treatment
9335,treatment
9520,treatment
6912,treatment
4937,control
13353,control
738,treatment
10377,control
12895,treatment
4790,control
1760,treatment
11222,treatment
8735,treatment
12276,treatment
9389,treatment
13114,treatment
260,control
12035,treatment
5215,treatment
7830,treatment
13184,control
1034,treatment
2944,control
4576,treatment
509,treatment
6068,treatment
8156,treatment
10145,treatment
6915,control
88,treatment
10166,treatment
12572,treatment
1537,control
11856,treatment
13098,control
13441,treatment
3324,control
2797,control
13411,control
3660,treatment
10324,treatment
7171,treatment
12909,control
6536,treatment
840,control
10947,control
12627,treatment
9295,control
10130,control
5467,treatment
9014,treatment
6921,control
14710,treatment
2308,treatment
5154,treatment
5599,control
2990,treatment
1941,treatment
14167,treatment
12668,control
9461,control
1355,treatment
13615,treatment
13748,treatment
7268,treatment
9629,treatment
14057,treatment
4306,treatment
5857,treatment
8363,treatment
13663,control
1288,treatment
10204,treatment
14506,control
3476,control
183,treatment
9516,control
3469,control
14098,control
9225,control
8195,treatment
9416,treatment
9396,control
10329,treatment
1302,treatment
8508,control
485,control
11589,control
8908,treatment
12351,treatment
9503,control
9278,treatment
4853,control
14957,treatment
4257,control
3308,control
8816,treatment
13189,treatment
7971,treatment
3156,treatment
4337,control
5517,treatment
296,control
10855,treatment
2997,control
8672,treatment
14012,control
3283,control
1294,treatment
9127,treatment
7124,treatment
10221,treatment
8090,treatment
11142,treatment
8226,control
2852,treatment
87,treatment
13503,treatment
5841,treatment
11284,control
12454,control
13308,treatment
4349,control
4793,treatment
14218,control
1116,treatment
6911,treatment
1838,treatment
13997,control
345,control
5753,treatment
13188,control
4752,control
10047,treatment
11991,treatment
13398,control
13734,treatment
11215,treatment
7825,control
10885,control
4192,control
2907,control
5287,control
8333,treatment
7202,control
9526,control
10638,control
6432,control
170,control
830,control
675,treatment
14889,control
3211,control
9865,control
12088,treatment
8332,treatment
1608,treatment
14420,control
4401,control
2554,treatment
12617,treatment
10072,control
3080,control
1597,control
1190,treatment
7361,control
3005,treatment
2535,control
2210,treatment
14965,treatment
5723,treatment
2000,treatment
5652,control
3160,treatment
14760,control
14851,treatment
9619,treatment
7735,treatment
5426,control
3924,treatment
11472,control
9958,treatment
6192,treatment
9655,treatment
11771,control
8684,control
997,treatment
3007,control
7586,control
10010,control
12819,control
1796,control
133,control
14958,control
14807,control
1046,treatment
3459,control
3709,control
9903,control
7461,control
4565,treatment
3259,treatment
2633,treatment
9356,treatment
1359,control
10771,control
13772,treatment
8690,treatment
2378,control
14365,control
8505,treatment
13103,treatment
3322,treatment
178,control
7624,control
1781,control
13735,treatment
4088,control
5659,treatment
4877,treatment
10532,control
8822,control
11038,control
5864,control
6373,control
14558,control
8279,control
3188,control
4651,treatment
11872,treatment
5856,treatment
2050,treatment
13842,treatment
6245,control
2118,control
9663,treatment
11884,treatment
1072,control
4612,treatment
2660,treatment
8904,control
5661,treatment
8427,control
562,treatment
14861,control
3612,control
9148,treatment
7934,treatment
8982,control
256,treatment
1369,control
10393,treatment
6887,control
14376,treatment
3951,control
7704,treatment
13323,control
10623,control
3370,control
12196,treatment
12518,control
9880,treatment
5252,treatment
5981,control
2476,treatment
9343,treatment
10161,treatment
1919,control
6886,control
3088,control
14448,treatment
8218,control
6827,control
2200,control
1860,treatment
10376,control
8689,treatment
11380,treatment
7954,control
11401,control
1610,treatment
7125,treatment
158,control
14637,control
1516,treatment
1641,treatment
3811,treatment
6083,treatment
2127,control
3977,treatment
2895,control
9391,control
4247,control
9606,control
449,treatment
4882,control
4203,control
3228,treatment
2698,treatment
11880,treatment
4796,treatment
7035,control
9936,control
12745,control
3613,treatment
10235,control
10243,control
5502,treatment
14078,treatment
5454,control
10995,treatment
1836,control
14836,control
8444,control
9062,treatment
11109,control
3250,treatment
4138,treatment
12984,control
5667,treatment
12864,control
11951,control
517,treatment
1801,treatment
14146,control
851,control
7783,control
10087,control
14453,control
8539,control
10478,treatment
14635,treatment
8712,treatment
9910,treatment
12336,control
14657,control
10979,treatment
1309,treatment
10549,control
14017,control
3710,treatment
2736,treatment
11971,treatment
6217,control
14251,treatment
890,control
1340,control
1189,control
12822,control
12868,control
13744,treatment
8307,treatment
3442,control
14397,control
14452,treatment
722,treatment
775,control
8644,treatment
370,treatment
12495,treatment
5961,control
794,treatment
7792,control
8948,control
2266,treatment
646,treatment
3383,treatment
8867,treatment
8626,control
8464,treatment
8410,control
4917,treatment
13752,control
13003,treatment
14618,control
988,treatment
14234,treatment
7093,control
1933,treatment
8041,control
13807,treatment
6683,control
1039,treatment
3799,control
10539,treatment
7636,control
12950,treatment
7143,control
6435,control
2511,treatment
2180,treatment
2625,treatment
7699,control
7433,treatment
4393,control
10618,treatment
6842,treatment
11941,control
1663,control
4037,treatment
1878,control
10951,control
12345,treatment
2160,treatment
6505,control
12433,treatment
12436,control
1650,treatment
9685,control
12708,treatment
11700,treatment
6402,treatment
1485,treatment
9548,treatment
6333,treatment
13933,treatment
1088,control
7957,treatment
5776,control
1107,treatment
9346,control
4973,control
6558,control
13226,treatment
5208,treatment
1782,treatment
11602,control
1807,treatment
12376,control
4876,treatment
8079,treatment
12939,control
4592,treatment
6758,treatment
5871,treatment
8024,control
4839,control
10063,control
7519,treatment
1549,treatment
5752,control
14627,control
8496,control
10758,treatment
10029,treatment
6778,treatment
200,treatment
4374,treatment
5649,treatment
5404,control
13348,control
8542,control
3557,treatment
4205,treatment
14656,treatment
3934,treatment
6105,control
11232,treatment
1461,treatment
13054,treatment
736,control
778,control
14666,control
4161,treatment
4564,treatment
11697,control
9707,control
4404,control
7557,treatment
5527,treatment
6439,treatment
848,treatment
5762,treatment
11070,control
3627,treatment
10785,treatment
8778,control
5001,treatment
2900,control
5406,control
2199,treatment
4891,control
12091,control
12429,control
5326,treatment
11831,control
3568,treatment
7215,treatment
12540,control
4207,treatment
13678,control
7068,treatment
12498,control
3191,control
10041,treatment
8134,treatment
10632,control
7001,treatment
14541,treatment
10279,treatment
4057,treatment
3457,treatment
11999,control
2373,control
14804,treatment
12835,treatment
7568,control
10627,control
3076,treatment
11640,control
9050,control
8453,control
12101,control
595,control
2398,treatment
8426,control
14715,treatment
7937,control
14922,control
6041,treatment
4352,control
13089,control
10872,control
6351,control
1073,treatment
6792,control
9847,control
12748,control
12741,treatment
6011,treatment
13350,control
9379,control
6940,control
13059,treatment
13444,treatment
8918,control
14903,treatment
4510,control
7364,control
6393,treatment
11686,control
557,treatment
11888,control
2149,treatment
7913,control
4573,treatment
6209,control
5756,treatment
3810,treatment
11357,control
380,control
7270,treatment
637,treatment
13595,control
7485,control
5539,treatment
11133,treatment
10119,treatment
1119,control
12322,control
1215,treatment
4416,treatment
2810,treatment
11514,control
4798,treatment
7407,treatment
8501,control
11491,control
14871,treatment
2891,treatment
10582,control
7108,control
5132,treatment
1475,treatment
6994,treatment
11530,control
5647,control
2626,control
4800,treatment
13956,treatment
6864,treatment
13507,treatment
12778,treatment
4769,control
3603,control
11683,control
5071,control
965,treatment
5792,treatment
12536,control
11689,treatment
9602,treatment
3385,treatment
6934,control
8595,control
6673,treatment
1726,treatment
13952,treatment
2103,control
10199,control
6374,control
9980,control
8407,control
9437,control
5320,treatment
9971,treatment
9285,treatment
6823,control
2412,treatment
3910,control
1550,treatment
12321,control
5415,control
698,treatment
3021,treatment
13313,treatment
3091,control
3889,control
10183,control
8146,treatment
8321,treatment
11004,treatment
14004,treatment
842,treatment
11540,control
6231,treatment
14366,treatment
4579,treatment
1271,control
6286,treatment
4766,treatment
6682,treatment
12201,treatment
8201,treatment
10912,control
7252,control
4044,control
5978,treatment
730,control
4582,treatment
13940,control
12828,treatment
5409,treatment
11676,control
14962,control
2010,control
4473,control
4385,treatment
8801,treatment
2782,control
14762,control
11196,treatment
3067,control
152,treatment
2961,control
4020,control
6279,treatment
11556,treatment
5710,control
14703,control
9843,control
7474,treatment
4259,treatment
8814,control
3443,control
8525,control
6608,treatment
4750,treatment
11963,treatment
4272,treatment
564,control
11488,control
3985,control
5733,treatment
9856,control
5970,treatment
4915,control
13774,treatment
12805,control
14580,control
2777,treatment
4761,treatment
5585,control
8485,control
10163,treatment
29,treatment
6324,treatment
14573,treatment
2392,control
10500,treatment
8875,control
7717,control
11018,treatment
12915,treatment
1614,control
253,control
5491,treatment
4985,control
14050,control
2622,control
11391,control
6787,control
10741,control
7104,control
11975,treatment
10806,treatment
12543,control
9260,treatment
787,treatment
7446,treatment
13495,treatment
3703,control
4859,treatment
13330,control
1673,treatment
1041,treatment
12581,control
4963,control
943,treatment
13321,control
12043,treatment
10094,treatment
11890,treatment
2202,control
7401,treatment
12682,treatment
13232,control
13344,control
597,treatment
11937,control
7299,control
10168,treatment
2295,treatment
2537,control
4381,treatment
3295,treatment
6676,treatment
7750,control
5976,treatment
11317,control
11959,control
4339,control
2454,control
9473,treatment
4718,control
6150,treatment
378,treatment
1812,control
2699,control
3598,treatment
3185,control
7617,treatment
1908,treatment
1847,treatment
5092,treatment
2617,control
11239,treatment
10328,control
8429,treatment
2560,control
6047,treatment
5964,control
14566,treatment
6690,treatment
5918,treatment
8292,treatment
14039,control
14991,control
12833,control
9256,treatment
14502,treatment
9849,control
2996,control
1147,control
14450,treatment
9666,treatment
9768,control
5726,control
2161,treatment
13126,treatment
8951,control
6006,control
14056,control
5616,treatment
11170,treatment
5590,control
6088,control
2618,treatment
3264,control
10965,treatment
6909,control
10296,control
12609,control
5536,treatment
6038,control
13919,control
3092,treatment
5425,treatment
9638,treatment
13402,treatment
14177,treatment
8319,treatment
2090,control
6067,control
5387,control
7327,treatment
14916,control
599,control
1305,treatment
3401,control
12821,treatment
728,treatment
14125,treatment
8425,control
7242,treatment
7709,control
8747,control
3869,treatment
12927,control
2047,control
3772,treatment
9277,control
14461,treatment
6972,treatment
5905,treatment
12142,treatment
11248,control
12076,treatment
7766,control
4585,control
10620,control
10762,treatment
834,control
703,treatment
3332,treatment
7647,treatment
4234,control
9998,control
7892,treatment
9341,control
939,treatment
6817,treatment
5302,treatment
13043,treatment
14797,treatment
3008,treatment
11791,control
4094,control
12064,treatment
11369,control
10567,treatment
5396,treatment
11832,treatment
77,control
12440,treatment
2987,control
3263,treatment
8430,treatment
13932,treatment
2874,control
9102,treatment
6044,treatment
13186,treatment
4460,control
6327,treatment
11230,treatment
3636,control
3321,treatment
3943,control
5612,treatment
10448,control
13917,treatment
8216,control
2241,treatment
14735,treatment
10990,control
14090,treatment
4014,control
6143,treatment
13,treatment
9213,control
7672,treatment
11421,treatment
14185,control
2423,control
2009,treatment
1942,control
13480,treatment
14300,treatment
11234,control
8695,control
2652,control
6702,treatment
9827,control
6129,control
13335,control
8874,treatment
6470,treatment
4110,treatment
12647,control
3023,treatment
3447,treatment
6978,control
5078,treatment
8515,treatment
6031,treatment
5414,treatment
9432,control
14143,treatment
10598,control
1799,treatment
14975,treatment
3620,treatment
12480,control
7026,control
947,treatment
11624,control
11674,control
8393,treatment
8013,control
3208,control
8658,control
12846,treatment
446,treatment
1058,control
985,treatment
952,treatment
14418,control
1375,control
3690,control
7345,control
3608,treatment
1210,treatment
8937,control
1372,treatment
3538,treatment
2629,control
13207,control
477,control
10267,treatment
13786,treatment
10735,control
11548,treatment
6974,control
5848,control
9385,control
3454,treatment
5411,treatment
4111,control
11839,control
3475,control
11784,control
11490,control
4895,control
7050,treatment
13237,treatment
2016,control
11596,control
11356,control
2953,control
8635,control
11577,treatment
5791,control
4632,treatment
8154,control
13866,treatment
7435,control
10541,control
5429,treatment
13489,treatment
10381,treatment
12085,control
896,control
2737,treatment
11532,treatment
9582,control
6251,treatment
6988,control
12488,control
5081,control
14687,control
4645,treatment
2268,control
3304,treatment
6037,treatment
14038,treatment
3409,treatment
3708,control
8546,treatment
9960,treatment
14497,treatment
7666,control
9094,treatment
10066,treatment
309,treatment
3223,control
12844,control
8348,treatment
462,control
14683,control
6148,control
4988,treatment
5678,treatment
7980,treatment
3575,control
7625,control
13557,control
3902,treatment
9040,control
4787,control
3351,treatment
13272,control
1881,control
6168,control
402,control
3656,treatment
4765,control
10653,control
917,control
14913,treatment
3233,control
14806,treatment
11786,control
11348,control
525,treatment
4384,treatment
7835,control
7591,control
1660,control
11892,control
8344,control
6300,treatment
7211,control
10773,treatment
11817,treatment
10499,control
2156,treatment
11131,treatment
3845,control
11486,treatment
10569,treatment
